Customer_ID,Purchase_Date,Cover_Start_Date,Cover_End_Date,Period_of_Cover,LOB,Broker,Age,Premium,Vehicle_Type,Vehicle_Age,Vehicle_Value,Vehicle_Use,Vehicle_Mileage,Occupation,NCD,Number_of_Drivers,Driver1_Age,Driver2_Age,Driver1_LicenceYears,Driver2_LicenceYears,Driver1_LicenceRecord,Driver2_LicenceRecord,Driver1_Claims_Count,Driver2_Claims_Count,Location_Risk,Daytime_Parking,Overnight_Parking,Telematics,Credit_Score,Fraud_Risk_Score,CCJs,Sale_Flag,Policy_Type,Annual_Mileage,Gender,Marital_Status,Previous_Claims_Count
CUST0000000,2021-07-24,2021-09-28,2022-09-28,365,Private_Motor,Broker_A,491.0,30701.88,Sedan,17,10020001.16,Personal,68740.0,Driver,1,4,491.0,490.0,473.0,472.0,Major Violation,Clean,0,0.0,Low,Garage,Garage,No,15600.0,32.0,No,0,Comprehensive,15636.0,Male,Widowed,0
CUST0000001,2023-01-05,2023-04-06,2024-04-05,365,Private_Motor,Broker_A,491.0,30700.08,SUV,5,10020026.81,Personal,115752.0,Student,8,2,491.0,490.0,473.0,472.0,Minor Violation,Clean,0,0.0,Low,Workplace,Street,Yes,15600.0,51.0,No,0,Third-Party Only,23708.0,Female,Divorced,0
CUST0000002,2021-03-31,2022-01-19,2023-01-19,365,Private_Motor,Broker_A,490.0,30700.44,Hatchback,12,10020001.52,Personal,85704.0,Teacher,11,3,490.0,492.0,472.0,474.0,Clean,Clean,0,0.0,High,Workplace,Driveway,No,15600.0,43.0,No,0,Comprehensive,18253.0,Male,Widowed,0
CUST0000003,2021-12-06,2022-11-08,2023-11-08,365,Private_Motor,Broker_B,490.0,30700.73,Sedan,8,10020055.42,Personal,94744.0,Teacher,7,1,491.0,,473.0,,Clean,,0,,Low,Garage,Street,Yes,15600.0,42.0,No,0,Third-Party Fire & Theft,25836.0,Male,Single,0
CUST0000004,2020-12-13,2021-03-22,2022-03-22,365,Private_Motor,Broker_A,491.0,30702.25,Sedan,12,10020010.44,Personal,62193.0,Doctor,7,3,491.0,493.0,473.0,475.0,Clean,Clean,0,0.0,Low,Workplace,Driveway,No,15600.0,41.0,No,0,Third-Party Only,16437.0,Male,Married,0
CUST0000005,2022-04-25,2023-01-05,2024-01-05,365,Private_Motor,Broker_B,491.0,30700.86,Truck,4,10020003.21,Personal,76102.0,Student,1,3,492.0,492.0,474.0,474.0,Major Violation,Clean,0,0.0,High,Street,Street,No,15600.0,44.0,No,0,Third-Party Only,21734.0,Female,Married,1
CUST0000006,2022-06-11,2023-03-07,2024-03-06,365,Private_Motor,Broker_C,490.0,30700.57,Hatchback,4,10020011.82,Commercial,93423.0,Teacher,9,1,490.0,,472.0,,Clean,,0,,High,Street,Garage,No,15600.0,42.0,No,0,Third-Party Fire & Theft,12685.0,Male,Widowed,0
CUST0000007,2022-05-07,2023-04-15,2024-04-14,365,Private_Motor,Broker_A,491.0,30702.22,Hatchback,19,10020031.5,Personal,60777.0,Engineer,4,4,490.0,491.0,472.0,473.0,Clean,Clean,0,0.0,Medium,Workplace,Street,No,15601.0,36.0,No,0,Third-Party Fire & Theft,18919.0,Male,Single,0
CUST0000008,2021-11-30,2022-04-26,2023-04-26,365,Private_Motor,Broker_A,492.0,30701.94,Sedan,4,10020005.62,Personal,60596.0,Driver,14,2,490.0,493.0,472.0,475.0,Clean,Clean,0,0.0,Low,Garage,Garage,No,15600.0,45.0,No,0,Comprehensive,12348.0,Male,Widowed,1
CUST0000009,2021-11-21,2022-01-11,2023-01-11,365,Private_Motor,Broker_A,491.0,30701.52,Truck,4,10020007.65,Personal,150180.0,Engineer,12,4,490.0,491.0,472.0,473.0,Major Violation,Clean,1,0.0,High,Street,Driveway,Yes,15600.0,32.0,Yes,0,Third-Party Only,13734.0,Female,Married,1
